index,artist_name,track_name,track_id,track_popularity,artist_id
49,Thyron,Crowd Control,6Nn7azlhNCmnKtKE2MC538,11,75jOSvJYkVT21xz5yll1xM
50,Tornillo,Morena,03NjizgksFxcj3JpxLh3vn,73,5OGraDcSkO4oTWthkm77WL
51,FÆTTERS,Mørkenat,4EFoSTo4n6zPPytX3b3gBN,12,2bQybD48SyEPSRhsY8hkst
52,Storkchen,Morken,4QtuC5aOZJ9XhcZvdg59wb,2,3hNRL8WqSBNM7nUplr5YUe
53,Los Bukis,Morenita,6qv1oi0j4lzQvxdWiL1apb,59,16kOCiqZ1auY4sokSeZuKf
54,Labradford,And Jonathan Morken. Photo Provided By,5HRKNGCJobs29w4QGbIza5,3,6vxqO8B12AXOoETpxVSgH0
55,HUGEL,Morenita,0pIiCv0GdhtsOjCJ5Y7zHj,70,5PlfkPxwCpRRWQJBxCa0By
56,Fairyland,At the Gates of Morken,7Cmk0eiAkRrZJQGyLyKIIx,11,7rPnZRgv1UGUDzmNBIe5QJ
57,Los Felinos,Morena,0sfppAuBPAZ76Xxye6evli,63,6RVdNANISrVp76M0Wjy4hX
58,Sissel Morken Gullord,Ensom lokk,3iaap62oq8g6XJIpG01D9e,14,4equAPf9w0KsTRwdT9iMwP
59,Los Hijos De Garcia,Moreno 80,1MGJxKsoJ88nwrEMnueAE5,55,3Aw1WaC6Xm8cOOppvXcnfa
60,Christian Mörken,Besuch im Gefängnis.1 - Johann Hinrich Wichern,1RKNv32Jq8rzobzRfqZTLO,8,3QtzgFYhRLWQwuVszPKD0W
61,Toño Y Freddy,Morenita Labios Rojos,25gGaMURpL6xXOKTuyrYj6,49,1L0AuvKZjMooDU1n8uEmLw
62,Vanvidd,Storm,6w2ngipfoz9Avo7UmReaqN,7,2hNY3IUCOWtJP1YPCH4CQ4
63,Ulisius,Morgentau,4sFKNjTnjAI6xsU6YsSEcS,53,19glYpuZ0LPlOKepeUFPo8
64,Øyvind Morken,En Navneles Jaevel,2UT5bo9U15LFDKHc5bDT8B,14,0UaqkH5XNXnXz41jUoqBMJ
65,David Guetta,You Can’t Change Me (feat. Raye),0ITFAAhQfjLWI1vckwrCFp,63,1Cs0zKBU1kc0i8ypK3B9ai
66,Christian Mörken,Kapitel 1.1 - Dietrich Bonhoeffer,5F0oMQzQNplRVHE53wZVuT,5,3QtzgFYhRLWQwuVszPKD0W
67,David Guetta,You Can’t Change Me (feat. Raye),4HjLBWJ7AKZQcmupi1NSM5,61,1Cs0zKBU1kc0i8ypK3B9ai
68,Christian Mörken,Kapitel 1 & Kapitel 2.1 - Florence Nightingale,4KIwfB4xmA3JD60dDOUFG8,6,3QtzgFYhRLWQwuVszPKD0W
69,Miguel Bosé,Morena mía,0HmQkmfYXRPweIg1ycw1R8,67,7mWCSSOYqm4E9mB7V4ot6S
70,Sissel Morken Gullord,Bånsull etter Beate,0CYnxvLseDGaW566u7P1Tt,6,4equAPf9w0KsTRwdT9iMwP
